package_name,package_subtitle,version
atlas.acti,The Atlas Career Type Indicator,2.1.10
atlas.class,A Bounded Variable Classifier,1.1.0
atlas.comp,A Professional Competence Coefficient,1.0.2
atlas.efa,Automated Exploratory Factor Analysis,2.1.0
atlas.employ,An Employability Coefficient,1.0.0
atlas.eqvl,A Multi-Purpose Equivalence Coefficient,1.2.0
atlas.fstatics,Factor-Analytic Comparative Statics,1.0.0
atlas.ftools,Factor Analysis Tools,1.1.1
atlas.gene,A Professional Profile Generality Coefficient,1.0.0
atlas.intc,A Career Interchangeability Coefficient,1.0.0
atlas.kcoef,Statistical Analysis of Human Capital,1.1.0
atlas.kind,An Indispensability Coefficient for Human Capital Analyses,1.0.0
atlas.match,Quantitative Career Matching,1.0.2
atlas.misc,Miscellaneous Helper Functions,1.2.0
atlas.notiq,Accurate IQ Approximations,1.0.0
atlas.plot,Automated Plotting in R,1.0.3
atlas.skew,A Skewness Coefficient for Bounded Variables,3.0.4
atlas.text,Dynamic Text Generation,1.0.0
